"コード","銘柄名","市場","現在値","前日比(%)","株価騰落【率】(%)","日中売買代金(千円)","株価移動平均線乖離率(%)","株価移動平均線乖離率(%)","年初来安値からの上昇率(%)","出来高増加率(倍)","過去60日ボラティリティ(%)","ボリンジャーバンド","RSI(%)"
"1619","ＮＦ建設・資材ＴＰＸ１７","東ETF","46010.0","-540.0(-1.16%)","-1.16","156,732","-1.12","2.04","70.41","4.88","15.33","0.60","65.04"
"1620","ＮＦ素材・化学ＴＰＸ１７","東ETF","32900.0","-10.0(-0.03%)","-0.03","2,850","-0.87","1.82","42.95","0.30","16.12","0.65","58.08"
"1621","ＮＦ医薬品ＴＰＸ１７","東ETF","30280.0","-180.0(-0.59%)","-0.59","4,783","0.08","0.35","29.76","0.50","15.28","0.22","50.30"
"1622","ＮＦ自動車・輸送機ＴＰＸ１７","東ETF","36720.0","-200.0(-0.54%)","-0.54","5,930","-2.26","-1.06","52.75","0.16","22.60","-0.36","53.38"
"1623","ＮＦ鉄鋼・非鉄ＴＰＸ１７","東ETF","49670.0","+350.0(+0.71%)","0.71","39,589","0.15","6.00","153.22","0.39","34.25","1.39","70.52"
"1624","ＮＦ機械ＴＰＸ１７","東ETF","83670.0","+290.0(+0.35%)","0.35","8,326","-0.69","5.90","77.08","0.38","24.80","0.95","74.22"
"1625","ＮＦ電機・精密ＴＰＸ１７","東ETF","51200.0","+120.0(+0.23%)","0.23","6,609","-0.84","1.02","73.53","0.38","24.12","0.38","52.25"
"1626","ＮＦ情報通信サービスＴＰＸ１７","東ETF","41200.0","-90.0(-0.22%)","-0.22","10,213","-0.64","-2.54","35.84","1.08","15.41","-2.11","27.01"
"1627","ＮＦ電力・ガスＴＰＸ１７","東ETF","11470.0","-175.0(-1.50%)","-1.50","26,028","-2.14","-0.62","53.34","1.02","21.52","-0.41","56.39"
"1628","ＮＦ運輸・物流ＴＰＸ１７","東ETF","20905.0","-105.0(-0.50%)","-0.50","1,549","-0.64","-1.25","34.65","0.40","12.48","-1.82","34.20"
"1629","ＮＦ商社・卸売ＴＰＸ１７","東ETF","122700.0","+700.0(+0.57%)","0.57","133,291","-0.93","2.59","82.21","0.56","18.86","0.62","62.28"
